Year,pink_numbers_na,all_spp_numbers_na,pink_numbers_np,all_spp_numbers_np,pink_biomass_na,all_spp_biomass_na,pink_biomass_np,all_spp_biomass_np
1952,55.8,117.69,198,294.6,99550,297656,319970,639240
1953,54.9,112.61,336.5,426.3,113183,299834,552675,851540
1954,58.9,123.42,179.8,294.1,103109,328749,286502,685555
1955,65.9,106.36,294.4,407.6,129127,255067,476719,854308
1956,62.7,127.52,260.8,397.4,107163,303352,406841,854349
1957,43.2,102.16,362,477.3,83347,266407,566397,934986
1958,55.9,114.59,187,307.9,99668,290596,290153,685893
1959,39.7,91.98,240,349.7,74824,234237,363887,717668
1960,43.1,121.47,125.1,262.6,69970,275125,188699,594720
1961,55.8,117.92,182.1,295.2,137978,326797,320847,680010
1962,102.6,154.11,162.9,265.4,168891,330459,261130,598326
1963,81.1,124.91,224.2,318.2,147607,279483,356068,649176
1964,88.9,141.53,146.2,245.6,147018,317974,224239,552973
1965,57.6,147.93,205.1,344.5,110398,326464,312951,688530
1966,89.3,150.62,161.1,275.7,169246,368515,273011,642767
1967,23.9,72.48,175.2,272.9,53612,206635,282005,599343
1968,106.3,166.15,172,270.1,155797,359679,259553,569657
1969,54.3,108,220.8,305.9,115181,267941,359290,609121
1970,69.8,163.39,132.2,268.2,123595,392236,212157,618284
1971,54.8,134.79,202.8,324.9,101372,339372,317793,681547
1972,53.1,108.37,126.2,224.7,78844,272520,187208,510872
1973,36.9,96.05,158.6,258.2,69828,289080,225402,567829
1974,42.4,100.83,133.9,238.3,75899,271105,197812,534515
1975,47.4,107.59,228.3,339.2,97804,269701,328897,651961
1976,80.8,138.48,199,305,151500,350449,295167,638916
1977,67.2,131.7,279.1,381.4,146570,370239,397046,742282
1978,121.1,196.31,234.1,349.6,186201,439503,321426,708061
1979,107.6,197.2,319.9,457,194746,458449,450339,868766
1980,117.5,235.97,244.5,408,189250,529520,343088,830789
1981,123.9,227.16,297.9,453.5,243448,565161,463998,955993
1982,109.3,208,223.2,373.1,167013,496315,312488,809075
1983,138.8,245.02,431,597.3,216247,524637,564974,1072316
1984,145,254.23,308.8,479.5,239236,565594,432090,960539
1985,191.4,313.72,326.3,524.2,308517,664382,462143,1064156
1986,162.7,269.14,261.8,442.8,250845,593939,391791,979583
1987,117,216.44,270.3,437.7,211676,531360,402442,945306
1988,119,218.09,212.2,384.8,183415,514617,309049,887840
1989,179.8,295.45,364.4,557.7,289857,632616,521486,1118829
1990,164.9,292.61,303,523,238959,619077,424671,1111197
1991,219,339.67,486,688.9,279878,618625,616160,1217830
1992,126.3,255.4,277.2,472.3,192976,571953,404143,997026
1993,189.1,340.87,398.6,650.2,263714,674981,533588,1260214
1994,173.9,318.59,453.7,698.6,245661,673989,602885,1348500
1995,231.5,375.66,434.9,690.5,362174,779376,642598,1413727
1996,201.7,329.69,424.3,677.1,289464,707824,605088,1428059
1997,150.8,254.01,402,609.6,260434,576548,603084,1254712
1998,181.1,285.74,443.6,636.1,292195,640227,626879,1250446
1999,268,385.46,501.1,699.2,362053,729027,642258,1259044
2000,144.1,250.76,381.8,567.9,223521,580057,556105,1161310
2001,223.5,320.25,401.8,601.2,345125,666644,582168,1238027
2002,180.5,278.34,382.9,574.2,278070,608502,589335,1248148
2003,243,349.71,466.3,675.5,387331,706096,692026,1382092
2004,190,315.7,361.3,594.2,314576,692155,596337,1339899
2005,292.7,407.92,594.5,813,471370,833998,851783,1566207
2006,125.4,244.71,347.5,580.1,213498,584955,527945,1277557
2007,229.8,333.29,550,765.7,369030,681712,816787,1484671
2008,130.6,223.89,331.7,524.7,207347,488465,519605,1118176
2009,190.3,284.34,657.6,878.5,269926,552532,896683,1588054
2010,163.6,287.7,410.3,647.1,281545,640450,649874,1383376
2011,215.3,322.24,654.8,861.4,342023,672169,863522,1501419
2012,122,220.71,437.6,652.5,203751,518148,623239,1273008
2013,368.1,462.91,578.3,798.8,510531,805890,809316,1489747
2014,166.2,283.91,359.3,609.4,259857,600598,532670,1301051
2015,302.6,431.21,552.7,818.9,466226,824893,805729,1599506
2016,96.9,215.73,432.2,685.7,175052,515399,592658,1337943
2017,226.1,354.2,512.8,736.6,380096,754630,760105,1427544
2018,87,214.48,701.3,950.1,149974,507994,899031,1587681
2019,203.2,320.79,638.8,854.2,303759,616513,828488,1430290
2020,110.6,204.97,312.9,486.1,177275,419983,435601,906376
2021,249.2,365.16,797.2,982.8,342600,618503,982626,1464701
2022,119.2,260.33,299,531.8,189406,543767,431103,1029179
