Stock,prop_age1,prop_age2
Alastair,0.75,0.25
Asitka,0.84,0.16
Babine Early Wild,0.97,0.03
Babine Late Wild,0.97,0.03
Babine Mid Wild,0.97,0.03
Bear-BC,0.93,0.07
Damdochax,0.84,0.16
Fulton,0.84,0.16
Johnston,0.84,0.16
Kitsumkalum,0.84,0.16
Kitwanga,0.98,0.02
Kwinageese,0.84,0.16
Lakelse,0.96,0.04
Lower Nass Sea & River Type,0.84,0.16
Mcdonell,0.84,0.16
Meziadin,0.84,0.16
Morice,0.84,0.16
Motase,0.73,0.27
Pinkut,0.84,0.16
Skeena River Type,0.84,0.16
Slamgeesh,0.98,0.02
Sustut,0.7,0.3
Swan/Stephens,0.84,0.16
Upper Nass River Type,0.84,0.16
